TD ID TJ DF Dd Db
110 2468 105 5 0 5
110 2450 103 7 0 7
110 2464 105 5 0 5
110 2398 94 16 0 16
111 2469 105 6 0 6
111 2433 100 11 0 11
111 2465 105 6 0 6
111 2467 105 6 0 6
111 2419 97 14 0 14
111 2476 111 0 0 0
111 2395 94 17 0 17
112 2474 111 1 0 1
113 2470 111 2 0 2
113 2471 111 2 0 2
113 2473 111 2 0 2
113 2475 111 2 0 2
113 2485 112 1 0 1
113 2472 111 2 0 2
113 2486 112 1 0 1
113 2481 112 1 0 1
113 2483 112 1 0 1
114 2477 111 3 0 3
114 2489 112 2 0 2
114 2478 111 3 0 3
114 2495 113 1 0 1
114 2484 112 2 0 2
114 2482 112 2 0 2
115 2479 111 4 0 4
115 2493 113 2 0 2
115 2491 113 2 0 2
116 2494 113 3 0 3
116 2496 113 3 0 3
116 2490 113 3 0 3
116 2497 113 3 0 3
116 2499 113 3 0 3
117 2498 113 4 0 4
117 2492 113 4 0 4
117 2480 112 5 0 5
117 2487 112 5 0 5
117 2488 112 5 0 5
Earth Army
Total Earth Soliders: 563  Total Earth Tanks: 318 Total Earth Gunnery: 301
Percentage Of Destructed Units Relative To Their Total:
Earth Soliders: 0 Earth Tanks: 0 Earth Gunnery: 0
Percentage Of Total Destructed Units Relative To Their Total:0
0 0 0
0 0
Total Healed ratio: 0
Alien Army
Total Alien Soldiers: 979  Total Alien Monester: 559 Total Alien Drones: 431
Percentage Of Destructed Units Relative To Their Total : Alien Soldiers: 100 Alien Monesters: 100 Alien Drones: 100
Percentage Of Total Destructed Units Relative To Their Total:100
5 0 5
1 0
